"rt","key_press","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_apertures","number_of_dots","number_of_sets","coherent_direction","coherence","opposite_coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","aperture_center_x","aperture_center_y","fixation_cross","fixation_cross_width","fixation_cross_height","fixation_cross_color","fixation_cross_thickness","border","border_thickness","border_color","canvas_width","canvas_height","trial_type","trial_index","time_elapsed","internal_node_id","sona_ID","random_ID","initials","age","gender","resp_confidence","rt_confidence","confidence_CB","sat_CB","pc_info","condition","direction","coherence_level","event","trial","block","phase","screen_resolution","window_resolution","focus"
"-1","-1","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.652116666082293","[12.164999963715672,16.659999964758754,16.97500003501773,16.27499982714653,16.570000210776925,16.799999866634607,16.550000058487058,16.700000036507845,16.619999893009663,16.675000078976154,16.885000048205256,16.5049999486655,16.605000011622906,16.589999897405505,16.97500003501773,16.49500010535121,16.57500001601875,16.704999841749668,16.805000137537718,16.56999997794628,16.724999994039536,16.979999840259552,16.56500017270446,16.319999936968088,16.66500000283122,16.635000007227063,16.724999994039536,16.654999926686287,16.694999998435378,16.70500007458031,16.684999922290444,16.754999989643693,16.660000197589397,16.95499988272786,16.610000049695373,16.279999865218997,16.635000007227063,16.675000078976154,16.844999976456165,16.550000058487058,16.76000002771616,16.56999997794628,16.67499984614551,16.620000125840306,18.385000061243773,16.174999997019768,15.269999857991934,16.650000121444464,16.724999994039536,16.71999995596707,17.260000109672546,15.799999935552478,17.87999994121492,16.00999990478158,16.5350001771003,16.444999957457185,16.76999987103045,16.505000181496143,16.57999982126057,16.875000204890966,17.384999897331,16.390000004321337,16.270000021904707,16.730000032112002,16.559999901801348,16.675000078976154,16.765000065788627,17.039999831467867,16.54500002041459,16.300000017508864,16.564999939873815,17.4000000115484,16.54500002041459,16.130000120028853,16.589999897405505,16.795000061392784,16.645000083371997,16.824999824166298,16.620000125840306,16.47999999113381,16.90499996766448,16.709999879822135,16.724999994039536,17.03000022098422,15.929999994114041,16.789999790489674,16.605000011622906,16.595000168308616,16.874999972060323,16.494999872520566,16.73500007018447,16.749999951571226,16.605000011622906,16.555000096559525,16.76000002771616,16.659999964758754,16.654999926686287,17.125000013038516,16.460000071674585,16.550000058487058,16.46499987691641,16.56999997794628,17.20000011846423,16.28999994136393,16.64999988861382,16.8550000526011,16.80000009946525,16.34499989449978,16.56999997794628,16.930000158026814,16.694999998435378,16.924999887123704,16.694999998435378,16.19999995455146,16.900000162422657,16.474999953061342,16.754999989643693,16.429999843239784,17.130000051110983,16.5049999486655,16.660000197589397,16.364999813959002,16.885000048205256,16.635000007227063,16.88000001013279,16.349999932572246,16.83000009506941,16.899999929592013,16.44999999552965,16.635000007227063,16.78499998524785,16.610000049695373,16.620000125840306,16.6999998036772,16.5200000628829,16.790000023320317,16.585000092163682,16.739999875426292,16.550000058487058,16.76000002771616,16.68999996036291,17.204999923706055,16.290000174194574,16.244999831542373,17.18500000424683,16.435000114142895,16.614999854937196,16.610000049695373,16.700000036507845,16.564999939873815,16.650000121444464,16.610000049695373,16.709999879822135,16.8550000526011,16.5200000628829,16.644999850541353,16.59999997355044,16.78499998524785,16.650000121444464,16.924999887123704,16.275000059977174,16.670000040903687,17.019999912008643,16.435000114142895,16.724999994039536,16.700000036507845,16.790000023320317,16.60999981686473,16.490000067278743,17.02499995008111,16.365000046789646,16.54500002041459,16.92000008188188,16.419999999925494,16.910000005736947,16.56999997794628,16.515000024810433,17.0499999076128,16.44999999552965,16.57500001601875,16.585000092163682,16.899999929592013,16.54500002041459,16.629999969154596,17.054999945685267,16.430000076070428,16.379999928176403,16.969999996945262,16.68999996036291,16.56999997794628,16.56500017270446,16.659999964758754,16.635000007227063,16.654999926686287,16.68000011704862,16.64999988861382,17.050000140443444,16.219999874010682,16.740000108256936,16.639999812468886,16.690000193193555,16.944999806582928,16.47999999113381,16.610000049695373,16.670000040903687,16.620000125840306,16.62499993108213,17.16999989002943,16.294999979436398,16.625000163912773,16.58499985933304,16.740000108256936,16.635000007227063,16.66500000283122,16.86499989591539,16.525000100955367,16.724999994039536,16.71999995596707,16.694999998435378,16.460000071674585,17.005000030621886,16.754999989643693,16.390000004321337,17.064999788999557,16.17500022985041,16.84999978169799,16.515000024810433,16.700000036507845,17.084999941289425,16.150000039488077,16.659999964758754,16.650000121444464,16.71999995596707,16.57500001601875,16.804999904707074,16.56500017270446,16.734999837353826,16.610000049695373,16.675000078976154,16.86499989591539,16.390000004321337,16.80000009946525,16.619999893009663,16.715000150725245,17.12999981828034,16.320000169798732,16.52999990619719,16.92000008188188,16.429999843239784,16.82500005699694,16.474999953061342,16.63000020198524,16.83499990031123,16.71999995596707,16.56999997794628,16.730000032112002,16.605000011622906,16.795000061392784,16.83499990031123,16.319999936968088,16.570000210776925,16.734999837353826,16.865000128746033,16.519999830052257,16.63000020198524,16.594999935477972,16.83499990031123,16.659999964758754,16.645000083371997,16.754999989643693,16.525000100955367,16.64999988861382,16.61500008776784,16.71999995596707,16.57500001601875,16.765000065788627,16.6999998036772,16.64000004529953,16.65500015951693,16.789999790489674,16.585000092163682,16.539999982342124,16.765000065788627,16.659999964758754,16.594999935477972,16.66500000283122,16.724999994039536,16.595000168308616,16.724999994039536,16.67499984614551,16.675000078976154,16.66500000283122,16.654999926686287,16.59000013023615,16.924999887123704,16.49500010535121,16.71999995596707,16.709999879822135,16.530000139027834,17.16999989002943]","300","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","6","228328","0.0-4.0-1.0-1.0","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","1","1","training_1","1536 x 864","1396 x 686","false"
"4292.039999971166","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.615213178343666","[3.535000141710043,16.54500002041459,16.739999875426292,17.20000011846423,16.03499986231327,16.754999989643693,16.730000032112002,16.45500003360212,16.684999922290444,16.865000128746033,16.499999910593033,16.850000014528632,16.56000013463199,16.56999997794628,16.62499993108213,17.13500008918345,16.324999975040555,16.52999990619719,17.005000030621886,16.659999964758754,16.390000004321337,16.74499991349876,16.65500015951693,16.629999969154596,16.679999884217978,16.66500000283122,16.61500008776784,16.645000083371997,16.754999989643693,16.60999981686473,16.80000009946525,16.52999990619719,16.670000040903687,16.64000004529953,16.694999998435378,16.654999926686287,16.685000155121088,16.76000002771616,16.59999997355044,16.76000002771616,17.084999941289425,17.155000008642673,16.10499992966652,17.019999912008643,15.980000142008066,16.439999919384718,16.814999980852008,16.595000168308616,16.684999922290444,16.675000078976154,16.62499993108213,16.739999875426292,16.694999998435378,16.600000206381083,16.644999850541353,16.670000040903687,16.934999963268638,16.5200000628829,16.614999854937196,16.64000004529953,16.57500001601875,16.779999947175384,16.940000001341105,16.585000092163682,16.645000083371997,16.549999825656414,16.485000029206276,16.670000040903687,16.659999964758754,17.059999983757734,16.64000004529953,16.68999996036291,16.37500012293458,16.684999922290444,16.500000143423676,16.67499984614551,16.650000121444464,16.629999969154596,16.444999957457185,17.0650000218302,16.57500001601875,16.654999926686287,16.59999997355044,16.765000065788627,16.754999989643693,16.45500003360212,16.684999922290444,16.670000040903687,16.659999964758754,16.73500007018447,16.850000014528632,16.559999901801348,16.71000011265278,16.700000036507845,16.474999953061342,16.989999916404486,16.564999939873815,16.509999986737967,16.59000013023615,16.874999972060323,16.539999982342124,16.865000128746033,16.59999997355044,16.64999988861382,16.71000011265278,16.5049999486655,16.55499986372888,16.670000040903687,16.71999995596707,16.625000163912773,16.71999995596707,16.605000011622906,16.670000040903687,16.64000004529953,16.694999998435378,16.739999875426292,16.64000004529953,16.679999884217978,16.805000137537718,16.659999964758754,16.71999995596707,16.564999939873815,16.620000125840306,16.709999879822135,16.56000013463199,16.629999969154596,16.684999922290444,16.77500014193356,16.55499986372888,16.885000048205256,16.555000096559525,16.619999893009663,16.78499998524785,16.530000139027834,16.714999917894602,16.564999939873815,16.77500014193356,16.6999998036772,17.180000199005008,16.374999890103936,16.404999885708094,16.690000193193555,16.68999996036291,16.749999951571226,16.395000042393804,16.820000018924475,16.724999994039536,16.5049999486655,16.700000036507845,16.629999969154596,16.61500008776784,16.704999841749668,16.780000180006027,16.58499985933304,16.684999922290444,16.70500007458031,16.68999996036291,16.650000121444464,16.605000011622906,16.80999994277954,16.559999901801348,16.63000020198524,16.78499998524785,16.58499985933304,16.61500008776784,16.70500007458031,16.669999808073044,16.555000096559525,16.90499996766448,16.585000092163682,16.559999901801348,16.700000036507845,16.605000011622906,16.684999922290444,16.934999963268638,16.500000143423676,16.619999893009663,16.765000065788627,16.679999884217978,16.56000013463199,16.614999854937196,16.68000011704862,16.765000065788627,16.62499993108213,17.68999989144504,15.805000206455588,16.564999939873815,16.54500002041459,16.885000048205256,16.67499984614551,16.460000071674585,16.804999904707074,16.955000115558505,16.24000002630055,16.670000040903687,16.79499982856214,16.515000024810433,16.850000014528632,16.68999996036291,16.54500002041459,16.654999926686287,17.740000039339066,15.894999960437417,16.320000169798732,16.8399999383837,16.42500003799796,17.220000037923455,16.124999849125743,16.675000078976154,16.684999922290444,16.814999980852008,16.500000143423676,16.78499998524785,16.700000036507845,16.724999994039536,16.614999854937196,16.465000109747052,16.885000048205256,16.644999850541353,16.595000168308616,16.64999988861382,16.64000004529953,16.659999964758754,16.594999935477972,16.730000032112002,16.68999996036291,16.610000049695373,16.730000032112002,16.76000002771616,16.64999988861382,16.595000168308616,16.814999980852008,16.8399999383837,16.40000008046627,16.74499991349876,16.62499993108213,16.59000013023615,16.709999879822135,16.56999997794628,16.720000188797712,16.56999997794628,16.910000005736947,16.549999825656414,16.61500008776784,16.66500000283122,16.765000065788627,16.639999812468886,16.72500022687018,16.694999998435378,16.57999982126057,16.71000011265278,16.62499993108213,16.56999997794628,16.8550000526011,16.499999910593033,16.71000011265278,16.619999893009663,16.850000014528632]","258","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","9","234627","0.0-4.0-1.0-1.1","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","2","1","training_1","1536 x 864","1396 x 686","true"
"148.49000005051494","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.568749997531995","[15.844999812543392,16.670000040903687,16.635000007227063,16.82500005699694,16.605000011622906,16.68999996036291,16.74499991349876,16.5350001771003]","8","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","12","235721","0.0-4.0-1.0-1.2","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","3","1","training_1","1536 x 864","1396 x 686","true"
"152.09500002674758","84","false","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.385555551904773","[14.135000063106418,16.644999850541353,16.44999999552965,16.890000086277723,16.700000036507845,16.61500008776784,16.539999982342124,16.654999926686287,16.8399999383837]","9","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","15","236543","0.0-4.0-1.0-1.3","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","4","1","training_1","1536 x 864","1396 x 686","true"
"173.35999989882112","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","15.743500017561018","[7.310000015422702,16.685000155121088,16.509999986737967,16.74499991349876,17.310000024735928,16.07499993406236,16.68999996036291,16.724999994039536,16.570000210776925,16.814999980852008]","10","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","18","237388","0.0-4.0-1.0-1.4","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","5","1","training_1","1536 x 864","1396 x 686","true"
"182.06000002101064","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.002727270295676","[9.305000072345138,16.589999897405505,16.835000133141875,16.614999854937196,16.625000163912773,16.614999854937196,16.650000121444464,16.52999990619719,16.82500005699694,16.774999909102917,16.66500000283122]","11","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","21","238328","0.0-4.0-1.0-1.5","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","6","1","training_1","1536 x 864","1396 x 686","true"
"169.7050000075251","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.446999995969236","[14.539999887347221,16.63000020198524,16.684999922290444,16.679999884217978,16.515000024810433,16.860000090673566,16.56999997794628,16.83499990031123,16.600000206381083,16.55499986372888]","10","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","24","239227","0.0-4.0-1.0-1.6","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","7","1","training_1","1536 x 864","1396 x 686","true"
"183.21499996818602","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.115000005811453","[10.789999971166253,16.71000011265278,16.670000040903687,16.67499984614551,16.645000083371997,16.71999995596707,16.499999910593033,16.765000065788627,16.515000024810433,16.684999922290444,16.59000013023615]","11","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","27","240128","0.0-4.0-1.0-1.7","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","8","1","training_1","1536 x 864","1396 x 686","true"
"180.82999996840954","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.310909085653044","[12.760000070556998,16.790000023320317,16.59999997355044,16.78499998524785,16.43499988131225,16.88000001013279,16.770000103861094,16.534999944269657,16.5200000628829,16.749999951571226,16.594999935477972]","11","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","30","241107","0.0-4.0-1.0-1.8","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","9","1","training_1","1536 x 864","1396 x 686","true"
"184.09500014968216","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.75850001629442","[17.58000021800399,16.659999964758754,16.539999982342124,16.709999879822135,17.16000004671514,16.349999932572246,16.70500007458031,16.605000011622906,16.580000054091215,16.694999998435378]","10","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","33","242055","0.0-4.0-1.0-1.9","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","10","1","training_1","1536 x 864","1396 x 686","true"
"183.45999997109175","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.484999986873433","[14.36999998986721,16.779999947175384,16.620000125840306,16.57999982126057,17.265000147745013,16.204999992623925,16.56999997794628,16.850000014528632,16.66500000283122,16.64999988861382,16.779999947175384]","11","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","36","243041","0.0-4.0-1.0-1.10","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","11","1","training_1","1536 x 864","1396 x 686","true"
"237.07500007003546","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.11321429455919","[9.13999998010695,16.685000155121088,16.439999919384718,16.774999909102917,16.685000155121088,16.559999901801348,16.765000065788627,16.730000032112002,16.659999964758754,16.675000078976154,16.66500000283122,16.4899998344481,16.59000013023615,16.724999994039536]","14","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","39","244100","0.0-4.0-1.0-1.11","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","12","1","training_1","1536 x 864","1396 x 686","true"
"198.68999999016523","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","15.567916678264737","[3.475000150501728,16.694999998435378,16.60999981686473,16.56000013463199,16.820000018924475,16.534999944269657,16.659999964758754,16.835000133141875,16.59999997355044,16.534999944269657,16.83499990031123,16.65500015951693]","12","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","44","246467","0.0-4.1-1.1-1.12","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","1","2","training_1","1536 x 864","1396 x 686","true"
"202.65999995172024","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.419999999925494","[13.675000052899122,16.745000146329403,16.474999953061342,16.76000002771616,16.74499991349876,16.654999926686287,16.740000108256936,16.474999953061342,16.71000011265278,16.8399999383837,16.654999926686287,16.564999939873815]","12","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","47","247327","0.0-4.1-1.1-1.13","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","2","2","training_1","1536 x 864","1396 x 686","true"
"186.67999980971217","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.8359091039747","[18.635000102221966,16.56999997794628,16.66500000283122,16.694999998435378,16.629999969154596,16.659999964758754,16.83000009506941,16.700000036507845,17.21499999985099,15.954999951645732,16.64000004529953]","11","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","50","248223","0.0-4.1-1.1-1.14","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","3","2","training_1","1536 x 864","1396 x 686","true"
"183.90499986708164","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.602272739295255","[15.85500012151897,16.8399999383837,16.694999998435378,16.5049999486655,16.605000011622906,16.68999996036291,16.625000163912773,16.684999922290444,16.740000108256936,16.58499985933304,16.80000009946525]","11","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","53","249140","0.0-4.1-1.1-1.15","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","4","2","training_1","1536 x 864","1396 x 686","true"
"186.04500009678304","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","15.646818199787628","[5.585000151768327,16.589999897405505,16.629999969154596,16.71000011265278,16.714999917894602,16.419999999925494,16.71999995596707,16.675000078976154,16.650000121444464,16.71999995596707,16.700000036507845]","11","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","56","250069","0.0-4.1-1.1-1.16","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","5","2","training_1","1536 x 864","1396 x 686","true"
"197.03499996103346","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","18.317500012926757","[33.245000056922436,16.47000014781952,16.67499984614551,16.814999980852008,17.699999967589974,15.700000105425715,16.610000049695373,16.550000058487058,16.76999987103045,16.64000004529953]","10","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","59","251019","0.0-4.1-1.1-1.17","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","6","2","training_1","1536 x 864","1396 x 686","true"
"217.8250001743436","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","15.761923080740067","[4.7599999234080315,16.805000137537718,16.739999875426292,16.5200000628829,16.659999964758754,16.83000009506941,16.62499993108213,16.539999982342124,16.714999917894602,16.715000150725245,16.68999996036291,16.55499986372888,16.75000018440187]","13","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","62","252101","0.0-4.1-1.1-1.18","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","7","2","training_1","1536 x 864","1396 x 686","true"
"234.62000000290573","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","17.927692307589147","[33.12999987974763,16.675000078976154,16.539999982342124,16.820000018924475,16.444999957457185,16.61500008776784,16.754999989643693,16.814999980852008,16.594999935477972,16.670000040903687,16.54500002041459,16.670000040903687,16.78499998524785]","13","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","65","253223","0.0-4.1-1.1-1.19","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","8","2","training_1","1536 x 864","1396 x 686","true"
"241.15999997593462","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.087499995982007","[8.40499997138977,16.684999922290444,16.5200000628829,16.76000002771616,16.80999994277954,16.539999982342124,16.49500010535121,16.790000023320317,16.829999862238765,16.56000013463199,16.79499982856214,16.500000143423676,16.844999976456165,16.68999996036291]","14","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","68","254388","0.0-4.1-1.1-1.20","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","9","2","training_1","1536 x 864","1396 x 686","true"
