"rt","key_press","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_apertures","number_of_dots","number_of_sets","coherent_direction","coherence","opposite_coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","aperture_center_x","aperture_center_y","fixation_cross","fixation_cross_width","fixation_cross_height","fixation_cross_color","fixation_cross_thickness","border","border_thickness","border_color","canvas_width","canvas_height","trial_type","trial_index","time_elapsed","internal_node_id","sona_ID","random_ID","initials","age","gender","resp_confidence","rt_confidence","confidence_CB","sat_CB","pc_info","condition","direction","coherence_level","event","trial","block","phase","screen_resolution","window_resolution","focus","rt_confirm"
"178.45000000670552","86","true","v,n","v","5000","true","1","50","1","180","0.5","0","2","5","1.3","274.4","274.4","white","black","5","1","1","15.453636349940842","[3.114999970421195,16.814999980852008,16.850000014528632,16.46499987691641,16.64000004529953,16.814999980852008,16.659999964758754,16.595000168308616,16.654999926686287,16.55499986372888,16.82500005699694]","11","422.5","392.5","false","20","20","black","1","false","1","1","845","785","rdk","6","8061","0.0-4.0-1.0-1.0","","rhqs9t","dsf","","","68","968.8250001054257","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","1","1","training_1","1536 x 864","845 x 785","true","1621.8250000383705"
"1509.129999903962","86","false","v,n","n","5000","true","1","50","1","0","0.5","0","2","5","1.3","274.4","274.4","white","black","5","1","1","16.59450000151992","[10.55500004440546,16.620000125840306,16.56999997794628,16.73500007018447,16.714999917894602,16.550000058487058,16.704999841749668,16.724999994039536,16.625000163912773,16.46499987691641,16.869999933987856,16.724999994039536,16.59000013023615,16.580000054091215,16.78499998524785,16.684999922290444,16.580000054091215,16.724999994039536,16.739999875426292,16.530000139027834,16.814999980852008,16.64999988861382,16.410000156611204,17.20999996177852,16.26499998383224,16.679999884217978,16.68000011704862,16.714999917894602,16.724999994039536,16.515000024810433,16.76000002771616,16.724999994039536,16.49500010535121,16.62499993108213,16.739999875426292,16.780000180006027,16.519999830052257,16.780000180006027,16.549999825656414,16.670000040903687,16.645000083371997,16.799999866634607,16.475000185891986,16.71999995596707,16.659999964758754,16.68000011704862,16.64999988861382,17.96999992802739,15.415000030770898,16.500000143423676,16.564999939873815,16.90499996766448,16.64999988861382,16.754999989643693,16.650000121444464,16.62499993108213,16.525000100955367,16.8550000526011,16.944999806582928,16.49500010535121,17.190000042319298,16.099999891594052,16.460000071674585,16.724999994039536,16.5200000628829,16.52999990619719,16.99999999254942,16.469999914988875,16.66500000283122,16.860000090673566,16.485000029206276,16.619999893009663,16.600000206381083,16.79499982856214,16.64000004529953,16.64000004529953,16.73500007018447,16.60999981686473,16.670000040903687,16.88000001013279,16.66500000283122,16.49500010535121,16.79499982856214,16.685000155121088,16.54500002041459,16.79499982856214,16.82500005699694,16.414999961853027,16.57500001601875,16.645000083371997]","90","422.5","392.5","false","20","20","black","1","false","1","1","845","785","rdk","10","13202","0.0-4.0-1.0-1.1","","rhqs9t","dsf","","","27","1558.7750000413507","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","2","1","training_1","1536 x 864","845 x 785","true","2363.230000017211"
"459.74499988369644","86","true","v,n","v","5000","true","1","50","1","180","0.5","0","2","5","1.3","274.4","274.4","white","black","5","1","1","16.5711111061413","[13.624999905005097,16.68000011704862,16.81999978609383,16.585000092163682,16.68999996036291,16.685000155121088,16.57999982126057,16.68000011704862,16.654999926686287,16.620000125840306,16.709999879822135,16.745000146329403,16.669999808073044,16.490000067278743,16.71999995596707,16.835000133141875,16.4899998344481,16.780000180006027,16.629999969154596,17.220000037923455,16.069999895989895,16.754999989643693,16.714999917894602,16.539999982342124,16.740000108256936,17.054999945685267,16.635000007227063]","27","422.5","392.5","false","20","20","black","1","false","1","1","845","785","rdk","14","18032","0.0-4.0-1.0-1.2","","rhqs9t","dsf","","","67","2808.655000058934","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","3","1","training_1","1536 x 864","845 x 785","true","3486.985000083223"
"361.30500002764165","86","false","v,n","n","5000","true","1","50","1","0","0.5","0","2","5","1.3","274.4","274.4","white","black","5","1","1","16.308181823908605","[8.535000029951334,16.790000023320317,16.59999997355044,16.70500007458031,16.76999987103045,16.505000181496143,16.879999777302146,16.625000163912773,16.66500000283122,16.499999910593033,16.89500012435019,16.629999969154596,16.54500002041459,16.730000032112002,17.32999994419515,15.944999875500798,16.595000168308616,16.74499991349876,16.709999879822135,16.500000143423676,17.364999977871776,16.21500006876886]","22","422.5","392.5","false","20","20","black","1","false","1","1","845","785","rdk","18","23888","0.0-4.0-1.0-1.3","","rhqs9t","dsf","","","38","720.3100000042468","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","4","1","training_1","1536 x 864","845 x 785","true","1368.3949999976903"
"2321.4350000489503","86","true","v,n","v","5000","true","1","50","1","180","0.5","0","2","5","1.3","274.4","274.4","white","black","5","1","1","16.56953571530591","[3.4050000831484795,16.724999994039536,16.49500010535121,16.629999969154596,16.799999866634607,16.605000011622906,16.73500007018447,16.714999917894602,16.47000014781952,16.80999994277954,16.57500001601875,16.654999926686287,16.774999909102917,16.56500017270446,16.95999992080033,16.56999997794628,16.659999964758754,16.650000121444464,16.739999875426292,16.430000076070428,16.80999994277954,16.645000083371997,16.44999999552965,16.899999929592013,16.610000049695373,16.57500001601875,16.78499998524785,16.71999995596707,16.490000067278743,16.83499990031123,16.64000004529953,16.675000078976154,16.485000029206276,16.730000032112002,16.68999996036291,16.629999969154596,16.709999879822135,16.77500014193356,16.57500001601875,16.534999944269657,17.179999966174364,16.245000064373016,16.64999988861382,17.179999966174364,16.19000011123717,16.62499993108213,16.5200000628829,16.694999998435378,16.76000002771616,16.67499984614551,16.580000054091215,16.770000103861094,16.659999964758754,16.585000092163682,16.724999994039536,16.684999922290444,16.66500000283122,16.88000001013279,16.439999919384718,16.65500015951693,16.559999901801348,16.83499990031123,16.635000007227063,16.629999969154596,16.84500020928681,16.639999812468886,16.700000036507845,16.530000139027834,16.98499987833202,17.179999966174364,15.959999989718199,17.050000140443444,16.33500005118549,16.379999928176403,16.71999995596707,16.64999988861382,16.765000065788627,16.509999986737967,16.795000061392784,16.765000065788627,16.494999872520566,16.844999976456165,16.475000185891986,16.6999998036772,16.690000193193555,17.019999912008643,16.589999897405505,16.41500019468367,17.064999788999557,16.345000127330422,16.539999982342124,16.71000011265278,16.57999982126057,16.515000024810433,16.940000001341105,16.68000011704862,16.52999990619719,16.71999995596707,16.68000011704862,16.68999996036291,16.524999868124723,16.690000193193555,16.669999808073044,16.540000215172768,16.974999802187085,16.730000032112002,16.435000114142895,17.564999870955944,15.9750001039356,16.54500002041459,16.55499986372888,16.790000023320317,16.580000054091215,16.62499993108213,16.874999972060323,16.41500019468367,16.820000018924475,16.72999979928136,16.56000013463199,16.635000007227063,16.795000061392784,16.629999969154596,16.659999964758754,16.564999939873815,16.645000083371997,16.749999951571226,16.605000011622906,16.74499991349876,16.65500015951693,16.57999982126057,16.765000065788627,16.740000108256936,16.57500001601875,16.604999778792262,16.64000004529953,16.685000155121088,16.539999982342124,16.670000040903687,16.704999841749668,16.650000121444464]","140","422.5","392.5","false","20","20","black","1","false","1","1","845","785","rdk","22","29588","0.0-4.0-1.0-1.4","","rhqs9t","dsf","","","41","3301.234999904409","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","5","1","training_1","1536 x 864","845 x 785","true","4995.984999928623"
"423.42999996617436","86","false","v,n","n","5000","true","1","50","1","0","0.5","0","2","5","1.3","274.4","274.4","white","black","5","1","1","16.45359999500215","[11.569999856874347,16.44999999552965,16.670000040903687,16.865000128746033,16.499999910593033,16.62499993108213,16.61500008776784,16.71999995596707,16.790000023320317,16.635000007227063,16.730000032112002,16.659999964758754,16.59999997355044,16.54500002041459,16.850000014528632,16.62499993108213,16.49500010535121,16.850000014528632,16.739999875426292,16.430000076070428,16.555000096559525,16.79499982856214,16.724999994039536,16.580000054091215,16.71999995596707]","25","422.5","392.5","false","20","20","black","1","false","1","1","845","785","rdk","26","37015","0.0-4.0-1.0-1.5","","rhqs9t","dsf","","","33","563.6700000613928","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","6","1","training_1","1536 x 864","845 x 785","true","1333.7199999950826"
"458.31000013276935","86","true","v,n","v","5000","true","1","50","1","180","0.5","0","2","5","1.3","274.4","274.4","white","black","5","1","1","16.559074080928607","[13.910000212490559,16.46499987691641,16.71999995596707,16.56999997794628,16.745000146329403,16.539999982342124,16.844999976456165,16.694999998435378,16.58499985933304,16.675000078976154,16.534999944269657,16.930000158026814,16.564999939873815,16.589999897405505,16.84500020928681,16.56999997794628,16.56999997794628,16.605000011622906,16.829999862238765,16.564999939873815,16.780000180006027,16.57999982126057,16.75000018440187,16.659999964758754,16.694999998435378,16.614999854937196,16.660000197589397]","27","422.5","392.5","false","20","20","black","1","false","1","1","845","785","rdk","30","40814","0.0-4.0-1.0-1.6","","rhqs9t","dsf","","","33","845.1149999164045","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","7","1","training_1","1536 x 864","845 x 785","true","1102.4650000035763"
"1393.099999986589","86","false","v,n","n","5000","true","1","50","1","0","0.5","0","2","5","1.3","274.4","274.4","white","black","5","1","1","16.61054216919983","[11.90500007942319,16.589999897405505,16.645000083371997,17.274999991059303,16.204999992623925,16.59999997355044,16.765000065788627,16.60999981686473,16.610000049695373,16.64000004529953,16.739999875426292,16.63000020198524,16.694999998435378,16.74499991349876,16.619999893009663,16.625000163912773,16.724999994039536,16.57999982126057,16.645000083371997,16.684999922290444,16.790000023320317,16.41500019468367,16.940000001341105,16.659999964758754,16.474999953061342,16.730000032112002,16.66500000283122,16.64000004529953,16.714999917894602,16.559999901801348,16.700000036507845,16.899999929592013,16.435000114142895,16.679999884217978,16.80000009946525,17.125000013038516,16.229999950155616,16.620000125840306,16.629999969154596,16.614999854937196,16.795000061392784,16.670000040903687,16.550000058487058,16.709999879822135,16.68999996036291,16.525000100955367,16.749999951571226,16.885000048205256,16.635000007227063,16.605000011622906,16.645000083371997,16.534999944269657,16.730000032112002,16.644999850541353,16.73500007018447,16.684999922290444,16.65500015951693,16.62499993108213,16.71999995596707,16.59000013023615,16.64999988861382,16.8399999383837,16.605000011622906,16.564999939873815,16.715000150725245,16.71999995596707,16.610000049695373,16.71999995596707,16.469999914988875,16.75000018440187,16.754999989643693,16.419999999925494,16.949999844655395,16.670000040903687,16.530000139027834,16.919999849051237,16.650000121444464,16.509999986737967,16.679999884217978,16.5049999486655,16.840000171214342,16.534999944269657,16.82500005699694]","83","422.5","392.5","false","20","20","black","1","false","1","1","845","785","rdk","34","45317","0.0-4.0-1.0-1.7","","rhqs9t","dsf","","","50","1808.8200001511723","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","8","1","training_1","1536 x 864","845 x 785","true","1808.8200001511723"
"1149.6049999259412","86","false","v,n","n","5000","true","1","50","1","0","0.5","0","2","5","1.3","274.4","274.4","white","black","5","1","1","16.48057971244165","[5.3400001488626,15.179999871179461,16.56500017270446,16.56999997794628,16.804999904707074,17.740000039339066,16.814999980852008,15.409999992698431,16.804999904707074,16.56000013463199,16.419999999925494,16.814999980852008,16.64999988861382,16.715000150725245,16.564999939873815,16.74499991349876,16.685000155121088,16.509999986737967,16.739999875426292,16.740000108256936,16.629999969154596,16.64000004529953,16.724999994039536,16.670000040903687,16.605000011622906,16.659999964758754,16.730000032112002,16.66500000283122,16.68999996036291,16.670000040903687,16.619999893009663,16.684999922290444,16.82500005699694,16.585000092163682,16.610000049695373,16.71999995596707,16.614999854937196,16.650000121444464,16.850000014528632,16.55499986372888,16.56500017270446,16.694999998435378,16.68999996036291,16.64000004529953,16.799999866634607,16.64000004529953,16.684999922290444,16.490000067278743,16.675000078976154,16.694999998435378,16.670000040903687,16.724999994039536,16.64999988861382,16.650000121444464,16.52999990619719,16.95499988272786,16.56500017270446,16.60999981686473,16.790000023320317,16.71000011265278,16.524999868124723,16.63000020198524,16.814999980852008,16.58499985933304,16.645000083371997,16.82500005699694,16.659999964758754,16.52999990619719,16.740000108256936]","69","422.5","392.5","false","20","20","black","1","false","1","1","845","785","rdk","38","50282","0.0-4.0-1.0-1.8","","rhqs9t","dsf","","","33","513.2499998435378","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","9","1","training_1","1536 x 864","845 x 785","true","950.819999910891"
"670.9600000176579","86","true","v,n","v","5000","true","1","50","1","180","0.5","0","2","5","1.3","274.4","274.4","white","black","5","1","1","16.516124998452142","[10.39499999023974,16.71999995596707,16.66500000283122,16.76000002771616,16.694999998435378,16.66500000283122,16.580000054091215,16.915000043809414,16.52999990619719,16.59999997355044,16.61500008776784,16.654999926686287,16.610000049695373,16.68000011704862,16.739999875426292,16.49500010535121,16.739999875426292,16.694999998435378,16.68000011704862,16.724999994039536,16.619999893009663,16.659999964758754,16.685000155121088,16.739999875426292,16.594999935477972,16.600000206381083,16.5049999486655,17.109999898821115,16.610000049695373,16.559999901801348,16.740000108256936,16.64999988861382,16.500000143423676,16.8550000526011,16.684999922290444,17.02499995008111,16.060000052675605,16.66500000283122,16.774999909102917,16.844999976456165]","40","422.5","392.5","false","20","20","black","1","false","1","1","845","785","rdk","42","53913","0.0-4.0-1.0-1.9","","rhqs9t","dsf","","","74","1850.6050000432879","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","10","1","training_1","1536 x 864","845 x 785","true","3507.4450001120567"
"779.0250000543892","86","true","v,n","v","5000","true","1","50","1","180","0.5","0","2","5","1.3","274.4","274.4","white","black","5","1","1","16.505957447349076","[9.205000009387732,16.589999897405505,16.73500007018447,16.724999994039536,16.629999969154596,16.45500003360212,16.754999989643693,16.64000004529953,16.564999939873815,16.90499996766448,16.564999939873815,16.730000032112002,16.82500005699694,16.5200000628829,16.419999999925494,16.90499996766448,16.629999969154596,16.469999914988875,16.740000108256936,16.795000061392784,16.57999982126057,16.715000150725245,16.709999879822135,16.595000168308616,16.574999783188105,16.754999989643693,16.745000146329403,16.515000024810433,16.814999980852008,16.62499993108213,16.694999998435378,16.730000032112002,16.605000011622906,16.594999935477972,16.715000150725245,16.6999998036772,16.56500017270446,16.76000002771616,16.714999917894602,16.534999944269657,16.62499993108213,16.81500021368265,16.654999926686287,16.564999939873815,16.670000040903687,16.64999988861382,16.75000018440187]","47","422.5","392.5","false","20","20","black","1","false","1","1","845","785","rdk","46","60207","0.0-4.0-1.0-1.10","","rhqs9t","dsf","","","24","16879.949999973178","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","11","1","training_1","1536 x 864","845 x 785","true","18345.91000014916"
"1237.5000000465661","86","false","v,n","n","5000","true","1","50","1","0","0.5","0","2","5","1.3","274.4","274.4","white","black","5","1","1","16.56587837842872","[9.314999915659428,16.59000013023615,16.645000083371997,16.60999981686473,16.675000078976154,16.594999935477972,16.8700001668185,16.709999879822135,16.49500010535121,16.78499998524785,16.714999917894602,16.580000054091215,16.605000011622906,16.670000040903687,16.594999935477972,16.739999875426292,16.675000078976154,16.795000061392784,16.605000011622906,16.564999939873815,16.779999947175384,16.685000155121088,16.52999990619719,16.779999947175384,16.670000040903687,16.629999969154596,16.610000049695373,16.779999947175384,16.715000150725245,16.614999854937196,16.684999922290444,16.570000210776925,16.659999964758754,16.68999996036291,16.684999922290444,16.56000013463199,17.40999985486269,16.06500009074807,16.559999901801348,17.020000144839287,16.444999957457185,16.605000011622906,16.54500002041459,16.749999951571226,16.730000032112002,16.54500002041459,16.824999824166298,16.66500000283122,16.620000125840306,16.610000049695373,16.734999837353826,16.720000188797712,16.509999986737967,16.714999917894602,16.76000002771616,16.605000011622906,16.619999893009663,16.770000103861094,16.55499986372888,16.625000163912773,16.80999994277954,16.730000032112002,16.539999982342124,16.66500000283122,16.714999917894602,16.68000011704862,16.55499986372888,16.754999989643693,16.715000150725245,16.54500002041459,16.669999808073044,16.795000061392784,16.64000004529953,16.56999997794628]","74","422.5","392.5","false","20","20","black","1","false","1","1","845","785","rdk","50","81798","0.0-4.0-1.0-1.11","","rhqs9t","dsf","","","24","1528.4649999812245","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","12","1","training_1","1536 x 864","845 x 785","true","1833.8799998164177"
